name,location,cuisines,highlights,cost_for_two,rating,budget_bucket
Kalingas,BTM,"Oriya, Fast Food","Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali",250.0,3.9,low
Angel Restaurant,Bannerghatta Road,"Kerala, South Indian, North Indian",,450.0,2.8,low
Cafe Talkhouse,HSR,North Indian,,,3.8,high
Paratha Xpress,Ulsoor,"North Indian, Chinese",,200.0,3.5,low
Classic Lassi Shop,Ulsoor,"Beverages, Ice Cream",,150.0,3.5,low
CAD (M) CAD (B),Banaswadi,Street Food,,200.0,3.2,low
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese","Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali",300.0,3.9,low
Joey's,BTM,"Chinese, Fast Food",,300.0,3.7,low
Pipabu,Koramangala 4th Block,"Continental, Italian, Chinese","Pasta, Pizza",750.0,3.8,medium
Al Habibi Restaurant,BTM,"North Indian, Chinese",,300.0,3.5,low
Kshathriya's Naati Junction,Richmond Road,South Indian,,250.0,,low
Lagom Patisserie,Frazer Town,"Bakery, Desserts",,350.0,,low
1522 - The Pub,Koramangala 4th Block,"Chinese, Continental, North Indian","Cocktails, Devils Chicken, Beer, Tandoori Chicken, Pasta, Pinacolada, Pizza",1400.0,4.2,medium
Cafe D'hide,Koramangala 5th Block,"Cafe, American, Continental, Italian","Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads",600.0,4.2,medium
Ascharya Hotel,Koramangala 5th Block,"Mangalorean, South Indian",,300.0,3.4,low
Crown Gold,Koramangala 4th Block,"South Indian, Chinese, Seafood",Sea Food,400.0,3.9,low
Indian Food,BTM,"North Indian, Biryani, Chinese, Momos",,450.0,2.9,low
ONS Food,Thippasandra,"North Indian, Chinese",,150.0,,low
The Spice Bazaar,Lavelle Road,"North Indian, Mughlai","Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Lunch Buffet",1000.0,4.2,medium
Gelato Italiano,Kammanahalli,"Ice Cream, Desserts, Bakery",,200.0,3.2,low
MOYASS,Bannerghatta Road,"South Indian, Kerala",,600.0,,medium
Chocolate Philosophy,Lavelle Road,Desserts,,500.0,,low
La Casa,Jayanagar,"Continental, Italian, Chinese, North Indian","Beer, Pasta, Burgers, Biryani, Masala Peanuts, Noodles, Au Gratin",800.0,3.6,medium
MoXa Bistro,Brigade Road,"Continental, Italian, North Indian, Pizza",,1500.0,3.9,high
Sidewalk Cafe - Nahar's Heritage Hotel,St. Marks Road,"Italian, Fast Food","Pizza, Pasta, Waffles, Sandwich, Apple Pie, Sandwiches, Burgers",800.0,3.9,medium
Shaadi Ki Biryani,BTM,"Biryani, North Indian, Mughlai",,400.0,3.0,low
Brew Cafe,BTM,Fast Food,,300.0,3.2,low
Shanghai Times,Whitefield,Chinese,,400.0,3.4,low
Kanis Kitchen,Shivajinagar,South Indian,,250.0,3.6,low
Bengaluru Baking Company - JW Marriott Bengaluru,Lavelle Road,"Salad, Bakery, Cafe, Sandwich, Italian, Burger","Coffee, Fruit Tart, Croissants, Eclair, Sandwich, Nachos, Tiramisu",1400.0,4.3,medium
La Pino'z Pizza,Koramangala 4th Block,"Italian, Pizza, Beverages","Fries, White Sauce Pasta, Monster Pizza, Cheesy Garlic Bread, Cheesy Pizza, Margherita Pizza",600.0,4.1,medium
Zaitoon Lassi Cafe,BTM,"Fast Food, Beverages",,200.0,,low
The Chef's Cake & Bakes,Ejipura,Bakery,,450.0,,low
Green Theory,Residency Road,"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade",800.0,4.2,medium
SV Bakery,Marathahalli,Fast Food,,200.0,,low
VRS Food Zone,Ejipura,"Chinese, Fast Food",,100.0,3.3,low
Mad Over Biryani,Koramangala 6th Block,"North Indian, Biryani",,600.0,3.1,medium
Grand Chillies,HSR,"North Indian, Chinese, Biryani",,400.0,3.4,low
Frozen Bottle,Basavanagudi,"Beverages, Desserts",Brownie,400.0,4.1,low
Udupi Upahara,Koramangala 1st Block,"South Indian, North Indian","Filter Coffee, Masala Dosa",300.0,3.7,low
Blu Dale Fast Food,Ejipura,"Chinese, North Indian, Andhra, Seafood",,250.0,3.3,low
Barista,Koramangala 5th Block,Cafe,"Coffee, Cappuccino, Sandwiches, Chicken Sandwich",300.0,3.5,low
Dosalicious,Koramangala 6th Block,South Indian,,150.0,3.3,low
Soda Bottle Opener Wala,Lavelle Road,"Parsi, North Indian","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Mocktails",1300.0,4.4,medium
Bite and Pipes,Kammanahalli,"Continental, Chinese",,500.0,3.5,low
The Street Kitchen,New BEL Road,"North Indian, Fast Food, Chinese, Beverages",,300.0,3.7,low
Andhra Paris,Sarjapur Road,Andhra,,250.0,3.2,low
Malabar Mandra,Koramangala 1st Block,"Kerala, Chinese",,700.0,3.6,medium
Shift,HSR,"Finger Food, Continental, North Indian","Paneer Steak, Peri Peri Pizza, Lamb Chops, Chicken Biryani, Cocktails, Mocktails, Kiwi Delight",1500.0,4.2,high
Hammered,HSR,"North Indian, South Indian, Continental, Asian","Cocktails, Andhra Chilli Chicken, Bruschettas, Nachos, Beer, Pizza, Ravioli",1200.0,,medium
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery, Arabian, Fast Food","Coffee, French Fries, Lemon Tea, Veg Sandwich",700.0,3.8,medium
Momo Time,HSR,"Momos, Chinese",,300.0,,low
Biriyani Section,Whitefield,"Biryani, North Indian",,300.0,,low
SLV Andhra Hotel,Whitefield,"Andhra, South Indian, Chinese",,300.0,,low
Chetty's Coffee,New BEL Road,South Indian,"Filter Coffee, Vada, Chai, Caramel Coffee, Masala Dosa, Kesari Bath, Veg Dosa",200.0,3.9,low
Wow Tiffin Food,Whitefield,North Indian,,200.0,,low
Raja Foodpath,Bommanahalli,"North Indian, South Indian, Chinese",,200.0,,low
T3H Cafe,Banashankari,"Cafe, Italian, American","Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300.0,3.9,low
Toscano,Koramangala 7th Block,"Italian, Salad","Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Panna Cotta, Wine",1500.0,4.5,high
Rajdhani Thali Restaurant,JP Nagar,North Indian,"Thali, Kadhi, Malpua, Khichda, Dahi Vada, Dal Bati Churma, Rabri",900.0,3.9,medium
AAlvina Restaurant,Kumaraswamy Layout,"North Indian, South Indian, Chinese",,400.0,,low
Ocean,Koramangala 6th Block,"Mexican, Continental, Italian, Chinese","Enchiladas, Pasta, Cocktails, Peri Peri Chicken, Draught Beer, Hot Gulab Jamun, Fajita",700.0,3.8,medium
Shawarma Time,Ulsoor,Arabian,,300.0,3.7,low
New Mahesh Friends Food Corner,BTM,"North Indian, Chinese",,300.0,3.3,low
Melt,BTM,"Continental, Steak, Fast Food","Burgers, Nachos, Fries, White Sauce Pasta, Cheese Pasta, Chicken Burger, Chicken Steak",1000.0,4.0,medium
Vijayalakshmi,Basavanagudi,South Indian,,200.0,3.9,low
Black Mug Cafe,Bannerghatta Road,Cafe,Coffee,300.0,3.7,low
Gurukrupa Paratha House,Domlur,"North Indian, Chinese","Paratha, Naan, Kadai Paneer, Malai Kofta, Panneer Butter Masala, Lassi, Chicken Keema",500.0,3.1,low
It's Mirchi - Ramee Guestline Hotels,Electronic City,"Continental, Mughlai",,1600.0,3.1,high
Jagannath Mess,Brookefield,"Andhra, North Indian, South Indian",,300.0,,low
South Parade - The Chancery Hotel,Lavelle Road,"North Indian, Continental, Chinese","Breakfast Buffet, Salads",1200.0,3.1,medium
Oven Lovin',Brigade Road,"Desserts, Bakery",,300.0,,low
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages","Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550.0,4.2,low
The Mughal's,Frazer Town,"Mughlai, North Indian, Chinese","Chicken Biryani, Lemon Chicken Roll",400.0,3.7,low
Vanilla Pod,Koramangala 4th Block,Bakery,,300.0,,low
Karachi Bakery,Indiranagar,Bakery,Pasta,500.0,3.9,low
The Chai Stop,Koramangala 5th Block,"Fast Food, Tea",,200.0,,low
Safa Hotel,Shivajinagar,"North Indian, Biryani",,200.0,,low
Stoner,Indiranagar,"Ice Cream, Pizza, Beverages","Tiramisu Ice Cream, Chocolate Overload, Paneer Tikka Pizza, Hot Chocolate, Chicken Chilli Pizza, Mango Tango, Chocolate Lava",550.0,4.4,low
Shaap,Indiranagar,"Kerala, Seafood","Buttermilk, Fish Curry, Biryani, Beef Fry, Pazham Pori, Chicken Malabari, Chicken Curry",500.0,4.0,low
Shiv Sagar,Domlur,"South Indian, North Indian, Street Food",,250.0,,low
Hum Biryani,BTM,"Biryani, North Indian",,600.0,3.4,medium
Smoodies,Whitefield,"Beverages, Healthy Food",,200.0,,low
Chefie,BTM,"Continental, Fast Food, Italian, North Indian",,200.0,3.5,low
Garage Pizza,Basavanagudi,Pizza,,400.0,3.2,low
Shri Vinayaka Ice N Juice,Jayanagar,"Fast Food, Beverages",,200.0,3.7,low
Shudh Desi Khana,Koramangala 1st Block,"North Indian, Chinese",,200.0,3.5,low
Sizzlingo,Koramangala 1st Block,North Indian,,600.0,,medium
